id,claim,image_provided,image_facts,text_facts,normalized_facts,rag_queries,hyde_doc_1,hyde_doc_2,error
1,Công an tỉnh Thái Bình đã khởi tố 10 đối tượng trong đường dây lừa đảo hỗ trợ vay vốn online.,False,Hai nhóm người đứng ngoài trời|Nhóm bên trái đang cầm các vật phẩm bao gồm sách và túi xách|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Hintergrund cho thấy một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm được cầm bởi nhóm bên trái,Công an tỉnh Thái Bình đã khởi tố.|Số lượng đối tượng là 10.|Hành động khởi tố liên quan đến đường dây lừa đảo hỗ trợ vay vốn online.,Công an tỉnh Thái Bình đã khởi tố|Số lượng đối tượng là 10|Hành động khởi tố liên quan đến đường dây lừa đảo hỗ trợ vay vốn online,Công an tỉnh Thái Bình|khởi tố|đường dây lừa đảo hỗ trợ vay vốn online,"{'title': 'Công an tỉnh Thái Bình khởi tố 10 đối tượng trong đường dây lừa đảo hỗ trợ vay vốn online', 'content': 'Công an tỉnh Thái Bình vừa tiến hành khởi tố 10 đối tượng liên quan đến đường dây lừa đảo hỗ trợ vay vốn online. Các đối tượng này đã bị bắt giữ sau khi họ đã thực hiện nhiều vụ lừa đảo nhằm chiếm đoạt tiền của người dân.'}","{'title': 'Đường dây lừa đảo hỗ trợ vay vốn online tại tỉnh Thái Bình', 'content': 'Công an tỉnh Thái Bình đã phát hiện ra một đường dây lừa đảo hỗ trợ vay vốn online hoạt động ở địa phương. Đường dây này đã gây thiệt hại tài chính đáng kể cho hàng trăm người dân. Hiện nay, công an tỉnh đã khởi tố 10 đối tượng liên quan đến vụ việc này.'}",
2,Các đối tượng cầm đầu đường dây lừa đảo đã thuê nhà tại Hà Nội và TP. Hồ Chí Minh để thực hiện hành vi phạm tội.,False,Hai nhóm người đứng ngoài trời|Nhóm bên trái đang nắm giữ các vật phẩm bao gồm sách và túi xách|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc đồ thường dân|Hintergrund cho thấy một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm được nắm giữ bởi nhóm bên trái,Các đối tượng cầm đầu đường dây lừa đảo đã thuê nhà.|Họ thuê nhà tại Hà Nội.|Họ thuê nhà tại TP. Hồ Chí Minh.|Họ đã thực hiện hành vi phạm tội.,Hai nhóm người đứng ngoài trời|Nhóm bên trái đang nắm giữ các vật phẩm bao gồm sách và túi xách|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc đồ thường dân|Hintergrund cho thấy một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm được nắm giữ bởi nhóm bên trái|Các đối tượng cầm đầu đường dây lừa đảo đã thuê nhà.|Họ thuê nhà tại Hà Nội.|Họ thuê nhà tại TP. Hồ Chí Minh.|Họ đã thực hiện hành vi phạm tội.,Các đối tượng cầm đầu đường dây lừa đảo|Thuê nhà tại Hà Nội và TP. Hồ Chí Minh|Thực hiện hành vi phạm tội,"{'title': 'Tình hình mới nhất về đường dây lừa đảo', 'content': 'Các đối tượng cầm đầu đường dây lừa đảo đã thuê nhà tại Hà Nội và TP. Hồ Chí Minh để thực hiện hành vi phạm tội. Họ đã nắm giữ nhiều tài liệu và đồ đạc trong quá trình thực hiện hành vi phạm tội.'}","{'title': 'Đường dây lừa đảo hoạt động tại Hà Nội và TP. Hồ Chí Minh', 'content': 'Các đối tượng cầm đầu đường dây lừa đảo đã thuê nhà tại Hà Nội và TP. Hồ Chí Minh để thực hiện hành vi phạm tội. Họ đã thực hiện hành vi phạm tội bằng cách sử dụng tài liệu giả mạo và thông tin sai lệch.'}",
3,Thượng úy Nguyễn Đức Phước là Điều tra viên thụ lý chính của vụ án lừa đảo này.,False,"Hai nhóm người đứng ngoài trời|Nhóm bên trái cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Hintergrund cho thấy một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm mà nhóm bên trái đang cầm",Thượng úy Nguyễn Đức Phước là một người trong ngành điều tra.|Ông được giao làm Điều tra viên.|Ông đang thụ lý chính vụ án lừa đảo.,"Hai nhóm người đứng ngoài trời|Nhóm bên trái cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Hintergrund cho thấy một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm mà nhóm bên trái đang cầm|Thượng úy Nguyễn Đức Phước là một người trong ngành điều tra.|Ông được giao làm Điều tra viên.|Ông đang thụ lý chính vụ án lừa đảo.",Thượng úy Nguyễn Đức Phước|Điều tra viên|vụ án lừa đảo,"{'title': 'Vụ án lừa đảo do Thượng úy Nguyễn Đức Phước thụ lý', 'content': 'Thượng úy Nguyễn Đức Phước, một người trong ngành điều tra, đã được giao làm Điều tra viên để thụ lý vụ án lừa đảo. Ông đang làm việc chăm chỉ để tìm ra những người liên quan đến vụ án này.'}","{'title': 'Bộ sưu tập tài liệu về vụ án lừa đảo do Thượng úy Nguyễn Đức Phước thụ lý', 'content': 'Đây là bộ sưu tập tài liệu về vụ án lừa đảo do Thượng úy Nguyễn Đức Phước thụ lý. Tài liệu này bao gồm các chứng cứ, thông tin từ nguồn tin cậy và các báo cáo điều tra.'}",
4,Tổng số tiền bị chiếm đoạt bởi đường dây lừa đảo này ước tính là 100 tỷ đồng.,True,"Hai nhóm người đứng ngoài trời|Nhóm bên trái đang cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Hintergrund hiển thị một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm mà nhóm bên trái đang cầm",Tổng số tiền bị chiếm đoạt được ước tính là 100 tỷ đồng.|Đường dây lừa đảo được đề cập trong câu.|Số tiền ước tính là 100 tỷ đồng.,"Hai nhóm người đứng ngoài trời|Nhóm bên trái đang cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Hintergrund hiển thị một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm mà nhóm bên trái đang cầm|Tổng số tiền bị chiếm đoạt được ước tính là 100 tỷ đồng.|Đường dây lừa đảo được đề cập trong câu.|Số tiền ước tính là 100 tỷ đồng.",tổng số tiền bị chiếm đoạt|đường dây lừa đảo|100 tỷ đồng,"{'doc_type': 'News Style', 'content': 'Theo thông tin mới nhất, tổng số tiền bị chiếm đoạt bởi đường dây lừa đảo này ước tính là 100 tỷ đồng. Đây là một vụ lừa đảo lớn, đã gây ra nhiều tổn thất cho những người bị lừa. Chúng ta cần tăng cường biện pháp phòng ngừa để ngăn chặn sự phát sinh của các vụ lừa đảo tương tự trong tương lai.'}","{'doc_type': 'Report Style', 'content': 'Theo báo cáo mới nhất, tổng số tiền bị chiếm đoạt bởi đường dây lừa đảo này ước tính là 100 tỷ đồng. Đây là một vụ lừa đảo nghiêm trọng, đã gây ra hậu quả tiêu cực cho cộng đồng. Chúng ta cần tìm cách giải quyết vấn đề này một cách hiệu quả để đảm bảo an ninh tài chính cho mọi người.'}",
5,Các đối tượng lừa đảo đã bị bắt giữ vào ngày 15 tháng 5 năm 2024.,False,"Hai nhóm người đứng ngoài trời|Nhóm bên trái đang cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Hintergrund cho thấy một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm được cầm bởi nhóm bên trái",Sự kiện đã diễn ra vào ngày 15 tháng 5 năm 2024.|Các đối tượng lừa đảo là chủ thể của sự kiện này.|Họ đã bị bắt giữ trong thời điểm đó.,"Hai nhóm người đứng ngoài trời|Nhóm bên trái đang cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Hintergrund cho thấy một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm được cầm bởi nhóm bên trái|Sự kiện đã diễn ra vào ngày 15 tháng 5 năm 2024.|Các đối tượng lừa đảo là chủ thể của sự kiện này.|Họ đã bị bắt giữ trong thời điểm đó.",Ngày bắt giữ|Đối tượng lừa đảo|Sự kiện,"{'title': 'Bắt giữ đối tượng lừa đảo vào ngày 15/5/2024', 'content': 'Trong sáng nay, lực lượng chức năng đã tiến hành một cuộc đột kích tại một địa điểm chưa được tiết lộ để bắt giữ một số đối tượng lừa đảo. Sự việc xảy ra vào lúc 8 giờ 30 phút, khi các đối tượng đang thực hiện một vụ lừa đảo trực tuyến. Các đối tượng đã bị bắt giữ sau khi họ cố gắng trốn thoát khỏi hiện trường. Hiện tại, các đối tượng vẫn đang được điều tra và xử lý theo quy định pháp luật.'}","{'title': 'Báo cáo về việc bắt giữ đối tượng lừa đảo vào ngày 15/5/2024', 'content': 'Trong buổi sáng hôm qua, một cuộc đột kích đã được tổ chức nhằm bắt giữ một số đối tượng lừa đảo. Sự việc xảy ra vào lúc 8 giờ 30 phút, khi các đối tượng đang thực hiện một vụ lừa đảo trực tuyến. Các đối tượng đã bị bắt giữ sau khi họ cố gắng trốn thoát khỏi hiện trường. Hiện tại, các đối tượng vẫn đang được điều tra và xử lý theo quy định pháp luật.'}",
6,Đường dây lừa đảo này chỉ nhắm mục tiêu vào người bị hại tại tỉnh Thái Bình.,False,"Hai nhóm người đứng ngoài trời|Nhóm bên trái đang cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Nền cảnh hiển thị một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm mà nhóm bên trái đang cầm",Đường dây lừa đảo này có tồn tại.|Mục tiêu của đường dây lừa đảo là người bị hại.|Người bị hại ở tỉnh Thái Bình.|Sự kiện xảy ra trong thời gian không được nêu rõ.,"Hai nhóm người đứng ngoài trời|Nhóm bên trái đang cầm các vật phẩm khác nhau, bao gồm sách và túi|Nhóm bên phải đang chụp ảnh|Cả hai nhóm đều mặc quần áo thường dân|Nền cảnh hiển thị một tòa nhà với cửa sổ lớn|Không có văn bản nào trên các vật phẩm mà nhóm bên trái đang cầm|Đường dây lừa đảo này có tồn tại.|Mục tiêu của đường dây lừa đảo là người bị hại.|Người bị hại ở tỉnh Thái Bình.|Sự kiện xảy ra trong thời gian không được nêu rõ.",Đường dây lừa đảo|Người bị hại|Tỉnh Thái Bình,"{'title': 'Báo cáo về đường dây lừa đảo tại tỉnh Thái Bình', 'content': 'Trong thời gian gần đây, đã phát hiện ra một đường dây lừa đảo hoạt động tại tỉnh Thái Bình. Mục tiêu chính của đường dây lừa đảo này là người bị hại. Tuy nhiên, thời gian xảy ra sự kiện vẫn chưa được xác định cụ thể.'}","{'title': 'Phát hiện đường dây lừa đảo tại tỉnh Thái Bình', 'content': 'Chúng tôi đã nhận được thông tin từ nguồn tin cậy rằng, tại tỉnh Thái Bình, có một đường dây lừa đảo đang hoạt động. Mục tiêu chính của đường dây lừa đảo này là người bị hại. Tuy nhiên, thời gian xảy ra sự kiện vẫn chưa được xác định cụ thể.'}",
7,"Bùi Quốc Ý, tức Ý Ẻng, là đối tượng cầm đầu băng ổ nhóm tội phạm nguy hiểm, đang bị Cơ quan CSĐT Công an tỉnh Thanh Hóa tạm giữ hình sự.",True,"Một người đàn ông mặc áo trắng có chữ 'X' đỏ ở giữa ngực.|Ba người đàn ông khác đang đứng cạnh nhau, tất cả đều mặc áo thun và quần short.|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen với logo trên ngực.|Hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương.|Tất cả những người này đều có tay được khóa bằng dây đeo.","1. Bùi Quốc Ý, còn được gọi là Ý Ẻng, là một người.|2. Ông ta là đối tượng cầm đầu của một băng ổ nhóm tội phạm.|3. Băng ổ nhóm này gây ra những hành vi phạm tội nghiêm trọng.|4. Ông ta đang bị Cơ quan CSĐT Công an tỉnh Thanh Hóa tạm giữ hình sự.","Một người đàn ông mặc áo trắng có chữ 'X' đỏ ở giữa ngực.|Ba người đàn ông khác đang đứng cạnh nhau, tất cả đều mặc áo thun và quần short.|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen với logo trên ngực.|Hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương.|Tất cả những người này đều có tay được khóa bằng dây đeo.|Bùi Quốc Ý, còn được gọi là Ý Ẻng, là một người.|Ông ta là đối tượng cầm đầu của một băng ổ nhóm tội phạm.|Băng ổ nhóm này gây ra những hành vi phạm tội nghiêm trọng.|Ông ta đang bị Cơ quan CSĐT Công an tỉnh Thanh Hóa tạm giữ hình sự.",Người đàn ông mặc áo trắng|Đối tượng cầm đầu băng ổ nhóm tội phạm|Cơ quan CSĐT Công an tỉnh Thanh Hóa,"Bùi Quốc Ý, còn được gọi là Ý Ẻng, là một người đàn ông đang bị Cơ quan CSĐT Công an tỉnh Thanh Hóa tạm giữ hình sự vì là đối tượng cầm đầu băng ổ nhóm tội phạm nguy hiểm. Ông ta đã gây ra những hành vi phạm tội nghiêm trọng. Hình ảnh cho thấy ông ta mặc áo trắng có chữ 'X' đỏ ở giữa ngực, cùng với ba người đàn ông khác đang đứng cạnh nhau, tất cả đều mặc áo thun và quần short. Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen với logo trên ngực, hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương. Tất cả những người này đều có tay được khóa bằng dây đeo.","Bùi Quốc Ý, còn được gọi là Ý Ẻng, là một người đàn ông đang bị Cơ quan CSĐT Công an tỉnh Thanh Hóa tạm giữ hình sự vì là đối tượng cầm đầu băng ổ nhóm tội phạm nguy hiểm. Ông ta đã gây ra những hành vi phạm tội nghiêm trọng. Hình ảnh cho thấy ông ta mặc áo trắng có chữ 'X' đỏ ở giữa ngực, cùng với ba người đàn ông khác đang đứng cạnh nhau, tất cả đều mặc áo thun và quần short. Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen với logo trên ngực, hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương. Tất cả những người này đều có tay được khóa bằng dây đeo.",
8,Băng nhóm tội phạm do Bùi Quốc Ý điều hành đã núp bóng doanh nghiệp để can dự vào các hoạt động kinh tế bất hợp pháp như đấu giá quyền sử dụng đất và đấu thầu các công trình xây dựng.,False,"Một người đàn ông mặc áo trắng có chữ 'X' đỏ ở giữa ngực.|Ba người đàn ông khác đang đứng cạnh nhau, tất cả đều mặc áo thun và quần short.|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen với logo trên ngực.|Hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương.|Tất cả những người này đều có tay được khóa bằng dây đeo.",1. Băng nhóm tội phạm do Bùi Quốc Ý điều hành tồn tại.|2. Băng nhóm này núp bóng dưới hình thức của một doanh nghiệp.|3. Băng nhóm này can dự vào các hoạt động kinh tế bất hợp pháp.|4. Các hoạt động kinh tế bất hợp pháp bao gồm đấu giá quyền sử dụng đất và đấu thầu các công trình xây dựng.,Băng nhóm tội phạm do Bùi Quốc Ý điều hành|núp bóng doanh nghiệp|can dự vào các hoạt động kinh tế bất hợp pháp|đấu giá quyền sử dụng đất|đấu thầu các công trình xây dựng,băng nhóm tội phạm|doanh nghiệp|hoạt động kinh tế bất hợp pháp,"{'title': 'Cảnh báo về băng nhóm tội phạm do Bùi Quốc Ý điều hành', 'content': 'Băng nhóm tội phạm do Bùi Quốc Ý điều hành đã núp bóng dưới hình thức của một doanh nghiệp để can dự vào các hoạt động kinh tế bất hợp pháp như đấu giá quyền sử dụng đất và đấu thầu các công trình xây dựng.'}","{'title': 'Đối phó với băng nhóm tội phạm do Bùi Quốc Ý điều hành', 'content': 'Băng nhóm tội phạm do Bùi Quốc Ý điều hành đã núp bóng dưới hình thức của một doanh nghiệp để can dự vào các hoạt động kinh tế bất hợp pháp như đấu giá quyền sử dụng đất và đấu thầu các công trình xây dựng. Cần phải tăng cường biện pháp phòng ngừa và xử lý nghiêm minh đối với các hành vi phạm pháp này.'}",
9,"Chỉ có 5 đối tượng, bao gồm Bùi Quốc Ý, bị Phòng Cảnh sát hình sự Công an tỉnh Thanh Hóa tạm giữ hình sự trong vụ án này.",False,"Một người đàn ông mặc áo trắng có chữ 'X' đỏ ở giữa ngực.|Ba người đàn ông khác đang đứng cạnh nhau, tất cả đều mặc áo thun và quần short.|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen với logo trên ngực.|Hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương.|Tất cả những người này đều có tay được khóa bằng dây đeo.",Số lượng đối tượng liên quan đến vụ án chỉ là 5.|Bùi Quốc Ý là một trong số 5 đối tượng.|Phòng Cảnh sát hình sự Công an tỉnh Thanh Hóa đã tạm giữ hình sự các đối tượng liên quan đến vụ án.,"Số lượng đối tượng liên quan đến vụ án chỉ là 5.|Bùi Quốc Ý là một trong số 5 đối tượng.|Phòng Cảnh sát hình sự Công an tỉnh Thanh Hóa đã tạm giữ hình sự các đối tượng liên quan đến vụ án.|Một người đàn ông mặc áo trắng có chữ 'X' đỏ ở giữa ngực.|Ba người đàn ông khác đang đứng cạnh nhau, tất cả đều mặc áo thun và quần short.|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen với logo trên ngực.|Hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương.|Tất cả những người này đều có tay được khóa bằng dây đeo.",5 đối tượng liên quan đến vụ án|Bùi Quốc Ý trong vụ án|Phòng Cảnh sát hình sự Công an tỉnh Thanh Hóa,"Trong vụ án mới đây, Phòng Cảnh sát hình sự Công an tỉnh Thanh Hóa đã tạm giữ hình sự 5 đối tượng liên quan. Trong số đó, Bùi Quốc Ý là một trong số 5 đối tượng. Các đối tượng này đều có tay được khóa bằng dây đeo.","Các đối tượng liên quan đến vụ án mới đây tại tỉnh Thanh Hóa đã bị Phòng Cảnh sát hình sự Công an tỉnh Thanh Hóa tạm giữ hình sự. Trong số đó, Bùi Quốc Ý là một trong số 5 đối tượng. Các đối tượng này đều có tay được khóa bằng dây đeo.",
10,"Bùi Quốc Ý và tất cả các thành viên băng nhóm bị tạm giữ đều sinh sống và hoạt động tại phường Hàm Rồng, tỉnh Thanh Hóa.",True,Người đàn ông mặc áo trắng|Ba người đàn ông khác đang đứng cạnh nhau|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen|Hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương|Tất cả những người này đều có tay được khóa bằng dây đeo,"Bùi Quốc Ý và tất cả các thành viên băng nhóm bị tạm giữ sinh sống và hoạt động tại phường Hàm Rồng, tỉnh Thanh Hóa.|Sự kiện này diễn ra trong thời gian không được nêu rõ.","Người đàn ông mặc áo trắng|Ba người đàn ông khác đang đứng cạnh nhau|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen|Hai người đàn ông trong hình nhỏ bên dưới cùng trái mặc áo màu xanh lá cây và áo màu xanh dương|Tất cả những người này đều có tay được khóa bằng dây đeo|Bùi Quốc Ý và tất cả các thành viên băng nhóm bị tạm giữ sinh sống và hoạt động tại phường Hàm Rồng, tỉnh Thanh Hóa.|Sự kiện này diễn ra trong thời gian không được nêu rõ.",Người đàn ông mặc áo trắng|Ba người đàn ông khác đang đứng cạnh nhau|Hai người đàn ông trong hình nhỏ bên dưới cùng phải mặc áo đen,"Ngày hôm qua, một vụ bắt giữ đã xảy ra tại phường Hàm Rồng, tỉnh Thanh Hóa. Bùi Quốc Ý và tất cả các thành viên băng nhóm bị tạm giữ đã bị phát hiện khi họ đang sinh sống và hoạt động tại đây. Họ đã bị bắt giữ sau khi cảnh sát nhận được tin báo từ công dân địa phương về việc họ đang thực hiện hành vi phạm pháp. Sự kiện này đang được điều tra để xác định thêm thông tin chi tiết.","Trong quá trình điều tra, cảnh sát đã thu thập nhiều chứng cứ quan trọng liên quan đến vụ án. Họ cũng đã tìm thấy nhiều vật chứng liên quan đến các hành vi phạm pháp của băng nhóm. Hiện tại, các thành viên băng nhóm vẫn đang bị tạm giữ tại trại giam địa phương. Cảnh sát sẽ tiếp tục điều tra để xác định thêm thông tin chi tiết về vụ án này.",
