model,claim_id,gold_label,verdict,has_final_error,final_error_type,final_error_text,has_evidence_null,map_results_null_count,has_map_parse_error,map_results_parse_error,normalized_claim,source_file
gemini-2.5-flash,1,supported,REFUTED,False,none,,True,1,False,,Công an tỉnh Thái Bình đã khởi tố 10 đối tượng liên quan đến đường dây lừa đảo hỗ trợ vay vốn trực tuyến.,d:\FactCheckPipeline\judge\judge_outputs_openrouter\factchecking_final_results_gemini-2.5-flash__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash,139,supported,SUPPORTED,False,none,,True,1,False,,"Streamer Độ Mixi đã làm việc với Phòng An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao, Công an TP Hà Nội.",d:\FactCheckPipeline\judge\judge_outputs_openrouter\factchecking_final_results_gemini-2.5-flash__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash,162,nei,REFUTED,False,none,,True,1,False,,"Vụ việc cản trở giao thông đã gây ra ùn tắc kéo dài 2 giờ tại ngõ 71, đường Quang Lĩnh.",d:\FactCheckPipeline\judge\judge_outputs_openrouter\factchecking_final_results_gemini-2.5-flash__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash,179,nei,NEI,False,none,,True,1,False,,Nguyễn Việt Hoàng đã sử dụng toàn bộ số tiền chiếm đoạt được để mua một căn nhà mới ở Đà Nẵng.,d:\FactCheckPipeline\judge\judge_outputs_openrouter\factchecking_final_results_gemini-2.5-flash__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash,188,supported,SUPPORTED,False,none,,True,1,False,,"Tổ công tác có nhiệm vụ hỗ trợ Thủ tướng Chính phủ chỉ đạo các bộ, ngành giải quyết các vấn đề liên quan đến đảm bảo an ninh năng lượng trong bối cảnh xung đột quân sự ở Trung Đông.",d:\FactCheckPipeline\judge\judge_outputs_openrouter\factchecking_final_results_gemini-2.5-flash__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash,210,nei,NEI,False,none,,True,1,False,,Cơ quan Cảnh sát điều tra Công an Thành phố Hà Nội đã khởi tố vụ án lừa đảo liên quan đến Lê Khắc Ngọ vào tháng 8 năm 2024.,d:\FactCheckPipeline\judge\judge_outputs_openrouter\factchecking_final_results_gemini-2.5-flash__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash,1014,refuted,REFUTED,False,none,,True,1,False,,Tất cả các lô sản phẩm kem chống nắng Hanayuki Sunscreen Body được sản xuất trước năm 2023 đều là hàng giả và đã bị thu giữ.,d:\FactCheckPipeline\judge\judge_outputs_openrouter\factchecking_final_results_gemini-2.5-flash__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,16,nei,NEI,True,other,Unterminated string starting at: line 3 column 18 (char 42),False,0,False,,Bác sĩ trưởng khoa Sản của Bệnh viện Từ Dũ đã trực tiếp đỡ đẻ cho em bé đầu tiên chào đời vào đúng giao thừa Tết Bính Ngọ 2026.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,64,refuted,REFUTED,False,none,,True,1,False,,Việc đăng ký thường trú cho con mới sinh không yêu cầu bố mẹ phải đăng ký thường trú tại nơi ở mới trước đó.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,74,supported,NEI,False,none,,True,1,False,,"Lực lượng chức năng đã thu giữ 1,8 tạ pháo nổ các loại do Ngô Đức Phong tự sản xuất tại nơi ở của Ngô Đức Phong.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,133,supported,NEI,False,none,,True,1,False,,Áp thấp nhiệt đới đã mạnh lên thành bão và đi vào Biển Đông vào tối ngày 25 tháng 11 năm 2025.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,134,supported,NEI,False,none,,True,1,False,,"Vào 07 giờ ngày 26 tháng 11 năm 2025, tâm bão số 15 ở vị trí 12,3 độ Vĩ Bắc và 118,3 độ Kinh Đông, cách đảo Song Tử Tây khoảng 440km về phía Đông.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,132,nei,NEI,False,none,,True,1,False,,Hãng hàng không Bamboo Airways có một chuyến bay bị hoãn vào ngày 01/3/2026 do xung đột tại Trung Đông.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,128,supported,REFUTED,False,none,,True,1,False,,"Chuyến bay EY431 của Etihad Airways từ Hà Nội đến Abu Dhabi đã bị hủy vào lúc 20:00 ngày 01 tháng 3 năm 2026, ảnh hưởng đến 276 hành khách.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,159,refuted,NEI,True,other,Unterminated string starting at: line 2 column 3 (char 4),False,0,False,,Vụ việc cản trở giao thông liên quan đến Nguyễn Viết L và Phạm Anh T đã xảy ra vào ngày 18 tháng 02 năm 2025.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,170,supported,NEI,True,other,Unterminated string starting at: line 2 column 3 (char 4),False,0,False,,"Đảng Cộng sản Việt Nam đã lãnh đạo toàn dân làm nên thắng lợi của Cách mạng Tháng Tám, thành lập nước Việt Nam Dân chủ Cộng hòa vào ngày 02 tháng 09 năm 1945.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,192,nei,NEI,False,none,,True,1,False,,Bộ Ngoại giao được giao nhiệm vụ báo cáo Thủ tướng Chính phủ về tình hình năng lượng quốc tế định kỳ hàng tháng.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,188,supported,SUPPORTED,False,none,,True,1,False,,"Tổ công tác có nhiệm vụ hỗ trợ Thủ tướng Chính phủ chỉ đạo các bộ, ngành giải quyết các vấn đề liên quan đến đảm bảo an ninh năng lượng trong bối cảnh xung đột quân sự ở Trung Đông.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,216,nei,NEI,True,other,"Expecting ',' delimiter: line 6 column 4 (char 549)",False,0,False,,"Điều tra viên Lê Minh Khánh đã tham gia điều tra vụ án ""Tổ chức đánh bạc, đánh bạc"" từ tháng 1 năm 2023.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,239,nei,NEI,False,none,,True,1,False,,Toàn bộ công tác sơ duyệt và diễn tập bảo vệ Đại hội XIV của Đảng đã được chuẩn bị trong vòng 3 tháng trước đó.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,282,nei,REFUTED,False,none,,True,1,False,,Cơn bão số 13 đã gây ra thiệt hại ước tính 100 tỷ đồng cho các công trình ven biển tại Đắk Lắk.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,292,refuted,NEI,False,none,,True,1,False,,"Mai Anh Nhật đã bỏ trốn khỏi hiện trường sau khi hành hung ông N.V.H, khiến người dân phải gọi cấp cứu.",d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
gemini-2.5-flash-lite,364,nei,NEI,False,none,,True,1,False,,Đại hội đại biểu toàn quốc lần thứ XIV của Đảng Cộng sản Việt Nam đã đặt mục tiêu thu hút 15 tỷ USD vốn đầu tư nước ngoài vào thị trường chứng khoán Việt Nam trong năm 2026.,d:\FactCheckPipeline\judge\judge_outputs_openrouter_flash_lite\factchecking_final_results_gemini-2.5-flash-lite__gemini-2.5-flash__semantic__clip_finetuned__reranker_1__full.csv
