model,label,precision,recall,f1,support,tp,fp,fn
deepseek-v4-flash,supported,0.953168044077135,0.8009259259259259,0.8704402515723271,432,346,17,86
deepseek-v4-flash,refuted,0.6866791744840526,0.8491879350348028,0.7593360995850623,431,366,167,65
deepseek-v4-flash,nei,0.7405541561712846,0.6837209302325581,0.7110036275695284,430,294,103,136
deepseek-v4-flash,accuracy,,,0.7780355761794276,1293,,,
deepseek-v4-flash,macro_avg,0.793467124910824,0.7779449303977622,0.7802599929089725,1293,,,
deepseek-v4-flash,weighted_avg,0.7936315594722361,0.7780355761794275,0.7803833004294696,1293,,,
gemini-2.5-flash,supported,0.9452054794520548,0.8041958041958042,0.8690176322418136,429,345,20,84
gemini-2.5-flash,refuted,0.6593220338983051,0.9046511627906977,0.7627450980392158,430,389,201,41
gemini-2.5-flash,nei,0.7854984894259819,0.6088992974238876,0.6860158311345647,427,260,71,167
gemini-2.5-flash,accuracy,,,0.7729393468118196,1286,,,
gemini-2.5-flash,macro_avg,0.7966753342587807,0.7725820881367964,0.772592853805198,1286,,,
gemini-2.5-flash,weighted_avg,0.796585909989189,0.7729393468118196,0.7727198415886936,1286,,,
gemini-2.5-flash-lite,supported,0.9310344827586207,0.7788461538461539,0.8481675392670157,416,324,24,92
gemini-2.5-flash-lite,refuted,0.7157464212678937,0.8413461538461539,0.7734806629834254,416,350,139,66
gemini-2.5-flash-lite,nei,0.7481662591687042,0.7391304347826086,0.7436208991494532,414,306,103,108
gemini-2.5-flash-lite,accuracy,,,0.7865168539325843,1246,,,
gemini-2.5-flash-lite,macro_avg,0.7983157210650728,0.7864409141583054,0.7884230337999648,1246,,,
gemini-2.5-flash-lite,weighted_avg,0.7983962177936385,0.7865168539325844,0.7884949473387297,1246,,,
