model,gold,pred,count
deepseek-v4-flash,supported,supported,346
deepseek-v4-flash,refuted,supported,9
deepseek-v4-flash,nei,supported,8
deepseek-v4-flash,supported,refuted,39
deepseek-v4-flash,refuted,refuted,366
deepseek-v4-flash,nei,refuted,128
deepseek-v4-flash,supported,nei,47
deepseek-v4-flash,refuted,nei,56
deepseek-v4-flash,nei,nei,294
gemini-2.5-flash,supported,supported,345
gemini-2.5-flash,refuted,supported,8
gemini-2.5-flash,nei,supported,12
gemini-2.5-flash,supported,refuted,46
gemini-2.5-flash,refuted,refuted,389
gemini-2.5-flash,nei,refuted,155
gemini-2.5-flash,supported,nei,38
gemini-2.5-flash,refuted,nei,33
gemini-2.5-flash,nei,nei,260
gemini-2.5-flash-lite,supported,supported,324
gemini-2.5-flash-lite,refuted,supported,14
gemini-2.5-flash-lite,nei,supported,10
gemini-2.5-flash-lite,supported,refuted,41
gemini-2.5-flash-lite,refuted,refuted,350
gemini-2.5-flash-lite,nei,refuted,98
gemini-2.5-flash-lite,supported,nei,51
gemini-2.5-flash-lite,refuted,nei,52
gemini-2.5-flash-lite,nei,nei,306
