claim_id_str,error_models,error_model_count,final_error_models,evidence_null_models,map_parse_error_models
188,"['gemini-2.5-flash', 'gemini-2.5-flash-lite']",2,[],"['gemini-2.5-flash', 'gemini-2.5-flash-lite']",[]
1,['gemini-2.5-flash'],1,[],['gemini-2.5-flash'],[]
1014,['gemini-2.5-flash'],1,[],['gemini-2.5-flash'],[]
1019,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1021,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1023,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1032,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1088,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1097,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1108,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1112,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1151,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1154,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1162,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1170,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1194,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1223,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1256,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
1263,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
128,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
132,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
133,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
134,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
139,['gemini-2.5-flash'],1,[],['gemini-2.5-flash'],[]
159,['gemini-2.5-flash-lite'],1,['gemini-2.5-flash-lite'],[],[]
16,['gemini-2.5-flash-lite'],1,['gemini-2.5-flash-lite'],[],[]
162,['gemini-2.5-flash'],1,[],['gemini-2.5-flash'],[]
170,['gemini-2.5-flash-lite'],1,['gemini-2.5-flash-lite'],[],[]
179,['gemini-2.5-flash'],1,[],['gemini-2.5-flash'],[]
192,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
210,['gemini-2.5-flash'],1,[],['gemini-2.5-flash'],[]
216,['gemini-2.5-flash-lite'],1,['gemini-2.5-flash-lite'],[],[]
239,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
282,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
292,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
364,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
385,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
414,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
421,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
464,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
594,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
64,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
675,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
712,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
74,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
774,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
797,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
830,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
852,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
906,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
949,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
981,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
985,['gemini-2.5-flash-lite'],1,[],['gemini-2.5-flash-lite'],[]
